SMILES,P(active),stereo_SMILES
C(C#N)[C@H](C(=O)O)N,0.0,C(C#N)[C@H](C(=O)O)N
C(C(=O)O)N,0.0006871134986570054,C(C(=O)O)N
C(C(C(=O)O)N)C(=O)N,0.0,C([C@@H](C(=O)O)N)C(=O)N
C(CC(=O)N)[C@@H](C(=O)O)N,0.0038999770589584768,C(CC(=O)N)[C@@H](C(=O)O)N
C(CC(=O)O)CN,0.003656307129798903,C(CC(=O)O)CN
C(CC(=O)O)[C@@H](C(=O)N)N,0.0,C(CC(=O)O)[C@@H](C(=O)N)N
C(CCC(=O)O)CCN,0.011429904362024726,C(CCC(=O)O)CCN
C(CCN)CC(=O)O,0.0023740776387552133,C(CCN)CC(=O)O
C(CN)C(=O)O,0.0009384971532253019,C(CN)C(=O)O
C(COCC(=O)O)N,0.0003224766204450177,C(COCC(=O)O)N
C(C[C@@H](C(=O)O)N)CNC(=O)N,0.0028222013170272815,C(C[C@@H](C(=O)O)N)CNC(=O)N
C(C[C@H](C(=O)O)N)CNC(=O)N,0.000824925439431436,C(C[C@H](C(=O)O)N)CNC(=O)N
C([C@@H](C(=O)O)N)O,0.0,C([C@@H](C(=O)O)N)O
C([C@@H](C(=O)O)O)N,0.0,C([C@@H](C(=O)O)O)N
C([C@H](C(=O)O)N)O,0.00018811136192626034,C([C@H](C(=O)O)N)O
C1C(CN1)C(=O)O,0.002179080824088748,C1C(CN1)C(=O)O
C1C(CN1)OCC(=O)O,0.005924170616113744,C1C(CN1)OCC(=O)O
C1CC(C1)(C(=O)O)N,0.0005016302984700275,C1CC(C1)(C(=O)O)N
C1CC(C1)C[C@H](C(=O)O)N,0.0,C1CC(C1)C[C@H](C(=O)O)N
C1CC(CC(C1)N)C(=O)O,0.002544055596922313,C1C[C@@H](C[C@@H](C1)N)C(=O)O
C1CC(CCC1C(=O)O)N,0.002274594048145574,C1CC(CCC1C(=O)O)N
C1CC(CCC1CN)C(=O)O,0.009033670955379141,C1CC(CCC1CN)C(=O)O
C1CC(CNC1)C(=O)O,0.003046505844317334,C1C[C@H](CNC1)C(=O)O
C1CC(Cc2c1n(nn2)C3CCNCC3)C(=O)O,0.0,C1C[C@@H](Cc2c1n(nn2)C3CCNCC3)C(=O)O
C1CC(Cn2c1nnc2N3CCNCC3)C(=O)O,0.00045421511627906976,C1C[C@@H](Cn2c1nnc2N3CCNCC3)C(=O)O
C1CC1(C(=O)O)N,0.0006020469596628537,C1CC1(C(=O)O)N
C1CC1(CN)C(=O)O,0.0014458134272064371,C1CC1(CN)C(=O)O
C1CC1C(C(=O)O)N,0.0,C1CC1[C@@H](C(=O)O)N
C1CC1C[C@@H](C(=O)O)N,0.0,C1CC1C[C@@H](C(=O)O)N
C1CC1C[C@H](C(=O)O)N,0.0028282320407265415,C1CC1C[C@H](C(=O)O)N
C1CC1[C@@H](C(=O)O)N,0.0,C1CC1[C@@H](C(=O)O)N
C1CC1[C@H](C(=O)O)N,0.0018631545133311917,C1CC1[C@H](C(=O)O)N
C1CCC(C1)(C(=O)O)N,0.0006407791874919902,C1CCC(C1)(C(=O)O)N
C1CCC(C1)[C@@H](C(=O)O)N,0.0041875,C1CCC(C1)[C@@H](C(=O)O)N
C1CCC(C1)[C@H](C(=O)O)N,0.0,C1CCC(C1)[C@H](C(=O)O)N
C1CCC(CC1)(CC(=O)O)CN,0.007767603410167351,C1CCC(CC1)(CC(=O)O)CN
C1CCC(CC1)(CC(=O)O)N,0.0001799694052011158,C1CCC(CC1)(CC(=O)O)N
C1CCC(CC1)C(C(=O)O)N,0.021894736842105262,C1CCC(CC1)[C@@H](C(=O)O)N
C1CCC(CC1)CC[C@@H](C(=O)O)N,0.0035778175313059034,C1CCC(CC1)CC[C@@H](C(=O)O)N
C1CCC(CC1)CC[C@H](C(=O)O)N,0.0024374830730342152,C1CCC(CC1)CC[C@H](C(=O)O)N
C1CCC(CC1)C[C@@H](C(=O)O)N,0.014819326025172554,C1CCC(CC1)C[C@@H](C(=O)O)N
C1CCC(CC1)C[C@H](C(=O)O)N,0.014236653137683422,C1CCC(CC1)C[C@H](C(=O)O)N
C1CCC(CC1)[C@@H](C(=O)O)N,0.0,C1CCC(CC1)[C@@H](C(=O)O)N
C1CCC(CC1)[C@H](C(=O)O)N,0.004985355518165389,C1CCC(CC1)[C@H](C(=O)O)N
C1CCC2C(C1)C[C@H](N2)C(=O)O,0.0037013801756587204,C1CC[C@@H]2[C@H](C1)C[C@H](N2)C(=O)O
C1CCNC(C1)C(=O)O,0.0,C1CCN[C@H](C1)C(=O)O
C1CCNC(C1)CC(=O)O,0.0,C1CCN[C@@H](C1)CC(=O)O
C1CCN[C@@H](C1)C(=O)O,8.565310492505354e-05,C1CCN[C@@H](C1)C(=O)O
C1CCN[C@H](C1)C(=O)O,0.002432027937141432,C1CCN[C@H](C1)C(=O)O
C1CC[C@H]([C@@H](C1)C(=O)O)N,0.0009817396426467701,C1CC[C@H]([C@@H](C1)C(=O)O)N
C1CN(C(=O)C2C1CNC2)CC(=O)O,0.0,C1CN(C(=O)[C@@H]2[C@H]1CNC2)CC(=O)O
C1CN(C(=O)CN1)CC(=O)O,0.0035410764872521247,C1CN(C(=O)CN1)CC(=O)O
C1CN(CCN1)CC(=O)O,0.0,C1CN(CCN1)CC(=O)O
C1CN(CCN1CCN)CC(=O)O,0.0,C1CN(CCN1CCN)CC(=O)O
C1CNC1C(=O)O,0.0,C1CN[C@@H]1C(=O)O
C1CNCC1C(=O)O,0.002270577105014191,C1CNC[C@@H]1C(=O)O
C1CNCCC1C(=O)O,0.002329192546583851,C1CNCCC1C(=O)O
C1CNCCC1CC(=O)O,0.0,C1CNCCC1CC(=O)O
C1CNCCC1CCCC(=O)O,0.024476347375853143,C1CNCCC1CCCC(=O)O
C1CNC[C@H]1C(=O)O,0.002466251298026999,C1CNC[C@H]1C(=O)O
C1CN[C@@H]1C(=O)O,0.0012237405669997961,C1CN[C@@H]1C(=O)O
C1COCC(N1)C(=O)O,0.0025401223877150447,C1COC[C@@H](N1)C(=O)O
C1COCCC1C(C(=O)O)N,0.004437178888369921,C1COCCC1[C@H](C(=O)O)N
C1COC[C@@H](N1)C(=O)O,0.0,C1COC[C@@H](N1)C(=O)O
C1C[C@@H](CNC1)C(=O)O,0.008494572911750826,C1C[C@@H](CNC1)C(=O)O
C1C[C@@H](CNC1)CC(=O)O,8.976660682226212e-05,C1C[C@@H](CNC1)CC(=O)O
C1C[C@@H](C[C@@H](C1)N)C(=O)O,0.008828996282527882,C1C[C@@H](C[C@@H](C1)N)C(=O)O
C1C[C@@H](NC1)C(=O)O,0.000866765725606736,C1C[C@@H](NC1)C(=O)O
C1C[C@@H]([C@H](C1)N)C(=O)O,0.00038206826286296485,C1C[C@@H]([C@H](C1)N)C(=O)O
C1C[C@H](CNC1)C(=O)O,0.00372695174578266,C1C[C@H](CNC1)C(=O)O
C1C[C@H](C[C@@H](C1)N)C(=O)O,0.004654410053525715,C1C[C@H](C[C@@H](C1)N)C(=O)O
C1C[C@H](Cn2c1nnc2C3CCNCC3)C(=O)O,0.0,C1C[C@H](Cn2c1nnc2C3CCNCC3)C(=O)O
C1C[C@H](N(C1)C2CCNCC2)C(=O)O,0.003675719828466408,C1C[C@H](N(C1)C2CCNCC2)C(=O)O
C1C[C@H](NC1)C(=O)O,0.0007554296506137865,C1C[C@H](NC1)C(=O)O
C1C[C@H]2C[C@@H]1[C@@H]([C@@H]2N)C(=O)O,0.011839708561020037,C1C[C@H]2C[C@@H]1[C@@H]([C@@H]2N)C(=O)O
C1[C@@H](CC[C@@H](C1)N)C(=O)O,0.00027462467960454045,C1[C@@H](CC[C@@H](C1)N)C(=O)O
C1[C@@H](CC[C@@H](C1)N)CC(=O)O,0.0016951362628765158,C1[C@@H](CC[C@@H](C1)N)CC(=O)O
C1[C@@H](CC[C@H](C1)C(=O)O)CN,0.052878965922444184,C1[C@@H](CC[C@H](C1)C(=O)O)CN
C1[C@@H](CN[C@@H]1C(=O)O)F,0.0002079434393844874,C1[C@@H](CN[C@@H]1C(=O)O)F
C1[C@H](CN[C@@H]1C(=O)O)F,0.0,C1[C@H](CN[C@@H]1C(=O)O)F
C1[C@H](CN[C@@H]1C(=O)O)O,0.00023348120476301658,C1[C@H](CN[C@@H]1C(=O)O)O
C1[C@H](NCC1(F)F)C(=O)O,0.002276961291658042,C1[C@H](NCC1(F)F)C(=O)O
C=CC1=CC=C(CN)C=C1,0.25169908600890556,C=CC1=CC=C(CN)C=C1
C=CCC(O)(CN)CC=C,0.028705882352941175,C=CCC(O)(CN)CC=C
C=CCCN,0.01914441030489246,C=CCCN
CC(=O)NC1=CC=CC(CN)=C1,0.05235726131248519,CC(=O)NC1=CC=CC(CN)=C1
CC(=O)NCC(C)CN,0.015775841770661644,C[C@H](CN)CNC(=O)C
CC(=O)NCCN,0.05498839907192576,CC(=O)NCCN
CC(=O)Nc1ccc(cc1)C[C@@H](C(=O)O)N,0.0,CC(=O)Nc1ccc(cc1)C[C@@H](C(=O)O)N
